price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long
1000,2014.0,nissan,altima 2.5 sv,excellent,4 cylinders,gas,124217.0,clean,automatic,fwd,sedan,silver,co,38.450564,-105.168407
1,2013.0,toyota,corolla,excellent,4 cylinders,gas,127099.0,clean,manual,fwd,sedan,grey,co,38.450497,-105.168386
14000,2012.0,ford,f250,,,gas,182000.0,clean,other,,,,co,38.197762,-104.841675
31999,2016.0,ram,1500,excellent,,gas,90123.0,clean,automatic,4wd,pickup,white,co,38.298476,-104.612853
17999,2016.0,subaru,forester,excellent,,gas,121336.0,clean,automatic,4wd,SUV,white,co,38.298476,-104.612853
26999,2014.0,ford,f-150,excellent,,gas,93687.0,clean,automatic,4wd,pickup,red,co,38.298476,-104.612853
12000,1957.0,,studebaker truck,good,8 cylinders,gas,1000000.0,clean,manual,4wd,pickup,custom,co,37.1066,-105.4781
4000,2008.0,hyundai,sonata,excellent,,gas,212953.0,clean,automatic,,,,co,38.2879,-104.5848
12000,1949.0,ford,f-1,fair,6 cylinders,gas,1000000.0,clean,manual,rwd,pickup,blue,co,37.1066,-105.4781
37995,2018.0,toyota,tacoma,,6 cylinders,gas,40884.0,clean,other,4wd,truck,grey,co,38.279325,-104.607754
6000,1997.0,jeep,wrangler,fair,4 cylinders,gas,236000.0,clean,automatic,4wd,,black,co,38.3588,-105.1239
6000,2005.0,subaru,wrx,fair,4 cylinders,gas,114000.0,clean,manual,4wd,,red,co,38.197762,-104.841675
5995,2003.0,honda,goldwing,,,gas,37220.0,clean,automatic,,,,co,38.300331,-104.613455
12995,2010.0,chevrolet,silverado 3500hd,,,gas,160774.0,clean,automatic,rwd,,white,co,38.300331,-104.613455
1500,2006.0,ford,fusion,,,gas,180619.0,clean,automatic,fwd,,white,co,38.300331,-104.613455
10000,1985.0,,1985 corvette,excellent,8 cylinders,gas,100000.0,clean,automatic,,coupe,red,co,38.2713,-104.6121
18990,2015.0,honda,cr-v ex sport utility 4d,good,,other,44617.0,clean,other,,other,silver,co,33.779214,-84.411811
25990,2019.0,ram,1500 classic regular cab,good,8 cylinders,gas,12302.0,clean,other,,pickup,white,co,33.779214,-84.411811
26990,2018.0,toyota,tacoma double cab sr,good,,gas,39293.0,clean,other,,pickup,white,co,33.779214,-84.411811
37990,2017.0,chevrolet,silverado 1500 crew,good,,other,31497.0,clean,other,,pickup,white,co,33.779214,-84.411811
14700,2014.0,honda,accord,excellent,4 cylinders,gas,69000.0,clean,automatic,fwd,,,co,38.208727,-104.909752
1,1973.0,chevrolet,c60,good,8 cylinders,gas,50000.0,clean,manual,rwd,,white,co,37.6465,-104.7798
5000,1992.0,jeep,cherokee laredo xj,good,6 cylinders,gas,40000.0,clean,automatic,4wd,offroad,grey,co,37.178633,-104.516117
32494,2014.0,ford,f-350,,,diesel,153776.0,clean,automatic,4wd,pickup,,co,38.298339,-104.616024
12494,2016.0,nissan,sentra,,,gas,65076.0,clean,,,other,,co,38.298339,-104.616024
18494,2016.0,kia,sorento,,,gas,97836.0,clean,automatic,,other,,co,38.298339,-104.616024
14994,2008.0,chevrolet,tahoe,,,gas,180000.0,clean,automatic,4wd,SUV,,co,38.298339,-104.616024
21994,2014.0,jeep,grand cherokee,,,gas,77613.0,clean,automatic,,other,black,co,38.298339,-104.616024
17500,2003.0,nissan,350z,like new,6 cylinders,gas,102000.0,salvage,manual,rwd,coupe,green,co,38.2716,-104.6118
10200,1995.0,ford,mustang,like new,8 cylinders,gas,70000.0,clean,automatic,,coupe,white,co,38.2715,-104.6118
6999,2003.0,chevrolet,tahoe,excellent,,gas,210056.0,clean,automatic,4wd,SUV,black,co,38.298476,-104.612853
36999,2017.0,gmc,sierra 1500,excellent,,gas,147281.0,clean,automatic,4wd,pickup,white,co,38.298476,-104.612853
59999,2016.0,ford,f-450 sd,excellent,,gas,81250.0,clean,automatic,4wd,pickup,red,co,38.298476,-104.612853
4200,2007.0,audi,a3 s-line 3.2 quattro,good,6 cylinders,gas,184000.0,clean,automatic,,,,co,38.436857,-104.617504
8000,2015.0,hyundai,accent,good,,gas,88000.0,clean,automatic,,sedan,blue,co,38.2715,-104.6119
24500,2019.0,honda,accord ex,new,4 cylinders,gas,10000.0,clean,automatic,,sedan,silver,co,38.2715,-104.6118
8500,2018.0,chevrolet,spark,like new,,gas,42500.0,salvage,manual,,hatchback,white,co,38.2715,-104.6118
39995,2018.0,toyota,4runner,,6 cylinders,gas,65834.0,clean,automatic,4wd,SUV,white,co,38.279325,-104.607754
5500,2000.0,toyota,tundra,good,,gas,287000.0,clean,automatic,,,,co,37.9236,-104.9303
4995,2002.0,toyota,camry,,,gas,176513.0,clean,automatic,fwd,,,co,38.300331,-104.613455
495,1992.0,,HOMEMADE TRAILER MOTORCYCLE,,,gas,0.0,clean,automatic,,,red,co,38.300331,-104.613455
4295,2007.0,ford,taurus,,,gas,101020.0,clean,automatic,fwd,,white,co,38.300331,-104.613455
18590,2016.0,honda,civic lx sedan 4d,good,,gas,8927.0,clean,other,fwd,sedan,white,co,33.779214,-84.411811
17990,2015.0,honda,accord sport sedan 4d,good,,other,35097.0,clean,other,,sedan,,co,33.779214,-84.411811
18990,2015.0,toyota,rav4 xle sport utility 4d,good,,other,55899.0,clean,other,fwd,other,,co,33.779214,-84.411811
19590,2017.0,toyota,camry se sedan 4d,good,,gas,31592.0,clean,other,fwd,sedan,,co,33.779214,-84.411811
6500,1969.0,chevrolet,c10,good,8 cylinders,gas,100000.0,clean,automatic,,,red,co,38.0323,-104.716
59900,2016.0,ram,2500 laramie longhorn,like new,8 cylinders,gas,4100.0,clean,automatic,4wd,truck,black,co,38.387,-104.7792
4100,2006.0,ford,f250 lariat,like new,8 cylinders,diesel,75000.0,clean,automatic,4wd,,,co,37.178633,-104.516117
6750,2010.0,ford,f550 super duty,like new,8 cylinders,diesel,120000.0,clean,automatic,4wd,,,co,37.178633,-104.516117
17495,2018.0,chevrolet,trax,,4 cylinders,gas,46620.0,clean,other,fwd,SUV,,co,38.279325,-104.607754
5988,2008.0,,Scion xB,,,gas,156793.0,clean,automatic,fwd,,blue,co,38.300331,-104.613455
16995,2017.0,nissan,rogue,,,gas,23771.0,clean,automatic,,,silver,co,38.300331,-104.613455
9995,2004.0,subaru,legacy wagon,,,gas,227137.0,clean,automatic,,,white,co,38.300331,-104.613455
23999,2011.0,,Pace American,excellent,,other,1.0,clean,other,,,red,co,38.8076,-104.7403
22990,2012.0,toyota,tacoma access cab pickup,good,,gas,37725.0,clean,other,,pickup,white,co,33.779214,-84.411811
34590,2017.0,ford,mustang gt coupe 2d,good,8 cylinders,gas,9982.0,clean,other,rwd,coupe,black,co,33.779214,-84.411811
22990,2014.0,ford,f150 super cab stx pickup,good,6 cylinders,other,59627.0,clean,other,4wd,pickup,black,co,33.779214,-84.411811
33590,2018.0,ford,f150 supercrew cab xl,good,,other,27365.0,clean,other,,pickup,white,co,33.779214,-84.411811
15494,2014.0,chevrolet,traverse,,,gas,116754.0,clean,automatic,,other,,co,38.298339,-104.616024
10494,2006.0,chevrolet,colorado,,,gas,236173.0,clean,automatic,,other,,co,38.298339,-104.616024
8994,2011.0,chrysler,200,,,gas,113078.0,clean,automatic,,other,black,co,38.298339,-104.616024
15494,2011.0,dodge,durango,,,gas,125474.0,clean,automatic,,other,,co,38.298339,-104.616024
16494,2011.0,jeep,grand cherokee,,,gas,117908.0,clean,,,other,,co,38.298339,-104.616024
17999,2016.0,dodge,journey,excellent,,gas,74000.0,clean,automatic,4wd,SUV,silver,co,38.298476,-104.612853
74999,2021.0,ford,econoline,excellent,,gas,1375.0,clean,automatic,rwd,pickup,white,co,38.298476,-104.612853
22999,2016.0,cadillac,xts,excellent,,gas,45454.0,clean,automatic,4wd,sedan,silver,co,38.298476,-104.612853
1900,2006.0,ford,e250 econoline,,,gas,250000.0,clean,automatic,,,,co,38.2843,-104.6234
10978,2017.0,chevrolet,spark,,4 cylinders,gas,61572.0,clean,automatic,fwd,sedan,black,co,38.279325,-104.607754
4995,2001.0,lexus,rx 300,,,gas,163058.0,clean,automatic,4wd,,white,co,38.300331,-104.613455
4495,2001.0,lexus,rx 300,,,gas,214848.0,clean,automatic,4wd,,silver,co,38.300331,-104.613455
4995,2006.0,buick,lucerne,,,gas,111864.0,clean,automatic,fwd,,,co,38.300331,-104.613455
