price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long
4900,2004.0,acura,mdx,good,,gas,184765.0,clean,automatic,,,,fl,30.2837,-81.8202
2200,2001.0,audi,tt,fair,4 cylinders,gas,188000.0,clean,manual,4wd,coupe,black,fl,30.1459,-81.5739
30990,2013.0,chevrolet,camaro ss coupe 2d,good,,other,14112.0,clean,other,,coupe,orange,fl,30.33,-81.65
38590,2017.0,nissan,titan xd crew cab sv,good,8 cylinders,gas,26539.0,clean,other,,pickup,black,fl,30.33,-81.65
24590,2017.0,chevrolet,silverado 1500 regular,good,6 cylinders,gas,40784.0,clean,other,,pickup,white,fl,30.33,-81.65
27990,2014.0,toyota,tacoma access cab pickup,good,,other,17805.0,clean,other,,pickup,red,fl,30.33,-81.65
14200,2016.0,nissan,altima,,,gas,62727.0,clean,automatic,fwd,sedan,,fl,28.329026,-81.404237
11900,1995.0,lexus,sc400,excellent,8 cylinders,gas,111250.0,clean,automatic,rwd,coupe,green,fl,30.639684,-81.453495
13500,2014.0,lexus,ct,,,gas,93538.0,clean,automatic,fwd,hatchback,red,fl,28.329026,-81.404237
5500,2004.0,honda,accord ex-l,excellent,4 cylinders,gas,146700.0,clean,automatic,fwd,sedan,silver,fl,27.7723,-82.6386
55000,2016.0,,kenworth t680,excellent,6 cylinders,diesel,680000.0,clean,automatic,rwd,truck,white,fl,30.403566,-81.742667
36990,2018.0,gmc,sierra 1500 double cab sle,good,8 cylinders,gas,23424.0,clean,other,4wd,pickup,black,fl,30.33,-81.65
34990,2018.0,toyota,tacoma double cab trd,good,6 cylinders,gas,13147.0,clean,other,,pickup,red,fl,30.33,-81.65
14850,2017.0,jeep,compass,,,gas,72034.0,clean,automatic,fwd,SUV,black,fl,28.329026,-81.404237
9000,2016.0,chevrolet,impala,like new,6 cylinders,gas,44259.0,clean,automatic,fwd,sedan,white,fl,30.394,-81.689
33590,2019.0,ford,ranger supercrew xl pickup,good,,gas,33424.0,clean,other,4wd,pickup,white,fl,30.33,-81.65
16990,2016.0,kia,forte koup ex coupe 2d,good,,gas,17631.0,clean,other,fwd,coupe,,fl,30.33,-81.65
5200,2008.0,toyota,sienna,excellent,6 cylinders,gas,193000.0,clean,automatic,fwd,mini-van,white,fl,30.288479,-81.578134
7988,2012.0,jeep,compass,,4 cylinders,gas,114195.0,clean,automatic,,SUV,,fl,30.2787,-81.5831
1450,2003.0,ford,taurus,,6 cylinders,gas,311889.0,clean,automatic,,,grey,fl,30.025223,-82.350266
12500,2018.0,kia,forte,,,gas,36646.0,clean,automatic,fwd,sedan,red,fl,28.329026,-81.404237
0,2015.0,acura,rdx,like new,6 cylinders,gas,50000.0,clean,automatic,fwd,SUV,white,fl,30.15074,-81.754019
15995,2017.0,chevrolet,equinox,,4 cylinders,gas,91297.0,clean,automatic,fwd,SUV,black,fl,28.763821,-81.282651
50995,2019.0,ford,f-150,,8 cylinders,gas,28994.0,clean,automatic,4wd,truck,,fl,28.763821,-81.282651
5200,2006.0,honda,civic coupe,,,gas,131085.0,clean,automatic,,,,fl,30.2908,-81.6321
38500,2019.0,jeep,wrangler,,,gas,19315.0,clean,automatic,4wd,SUV,,fl,28.329026,-81.404237
19990,2017.0,subaru,legacy 2.5i premium sedan,good,,gas,10309.0,clean,other,,sedan,white,fl,30.33,-81.65
