price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long
28888,2014.0,chevrolet,1500,,,gas,96430.0,clean,automatic,,,,tx,30.649402,-97.865868
28800,2017.0,ram,2500,,,gas,122551.0,clean,automatic,4wd,truck,black,tx,32.447591,-100.408954
0,2017.0,tesla,model 3,,,diesel,0.0,clean,automatic,rwd,sedan,,tx,41.608569,-71.073548
31998,2020.0,ford,edge,,,gas,5471.0,clean,automatic,fwd,SUV,white,tx,32.402428,-98.796869
27500,2017.0,lincoln,continental,,,gas,15912.0,clean,automatic,fwd,sedan,black,tx,32.402428,-98.796869
100000,2008.0,,Man Test,,4 cylinders,,0.0,clean,other,,,,tx,41.608569,-71.073548
100000,,,Model 3,,,,0.0,clean,automatic,rwd,sedan,,tx,41.608569,-71.073548
1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,tx,31.052169,-97.498512
21995,2017.0,ford,mustang,,,gas,33532.0,clean,automatic,rwd,coupe,silver,tx,32.447591,-100.408954
51995,2019.0,ford,f-250,,,diesel,48956.0,clean,automatic,4wd,truck,white,tx,32.402428,-98.796869
33250,2017.0,ford,f-150,,,gas,72440.0,clean,automatic,4wd,truck,blue,tx,32.402428,-98.796869
31913,2015.0,chevrolet,tahoe,,8 cylinders,gas,120189.0,clean,automatic,rwd,SUV,black,tx,35.177308,-101.794475
17995,2010.0,jeep,wrangler unlimited,,6 cylinders,gas,147311.0,clean,automatic,4wd,SUV,silver,tx,35.203066,-101.895003
8500,1966.0,chevrolet,ii 1966,good,6 cylinders,gas,93.0,clean,manual,rwd,coupe,blue,tx,35.8377,-101.45
11000,2013.0,,2013,like new,4 cylinders,gas,73000.0,clean,automatic,fwd,SUV,blue,tx,35.216681,-101.81745
9900,2010.0,ford,expedition,excellent,8 cylinders,gas,139109.0,clean,automatic,rwd,SUV,black,tx,35.216559,-101.829738
0,2013.0,kia,optima,excellent,4 cylinders,gas,0.0,clean,automatic,fwd,sedan,black,tx,35.216559,-101.829738
5500,2011.0,hyundai,santa fe,excellent,4 cylinders,gas,149050.0,clean,automatic,fwd,SUV,blue,tx,35.216559,-101.829738
5000,2001.0,nissan,xterra,good,6 cylinders,gas,100000.0,clean,automatic,4wd,SUV,red,tx,34.72632,-100.543888
24900,2011.0,ford,f-250 lariat 4x4,excellent,8 cylinders,diesel,250860.0,clean,automatic,4wd,pickup,red,tx,35.191872,-101.820978
36885,2015.0,chevrolet,3500,,,diesel,103588.0,clean,automatic,,,,tx,30.648073,-97.867241
10395,2012.0,nissan,maxima,,6 cylinders,gas,109624.0,clean,automatic,fwd,sedan,silver,tx,35.203066,-101.895003
47999,2016.0,ford,f350,,,diesel,111536.0,clean,automatic,,,,tx,30.649845,-97.867241
34998,2013.0,ram,2500,,,diesel,200169.0,clean,automatic,,,,tx,30.648959,-97.867413
46995,2014.0,ford,f250 platinum 4x4,,,diesel,125743.0,clean,automatic,,,,tx,30.663,-97.9316
2700,2001.0,lexus,es 300,good,6 cylinders,gas,211000.0,clean,automatic,rwd,sedan,black,tx,35.1977,-101.8949
6500,1998.0,ford,mustang,good,8 cylinders,gas,110000.0,clean,automatic,fwd,convertible,red,tx,35.2309,-101.806
2000,1985.0,chevrolet,g20 van,,8 cylinders,gas,98000.0,clean,automatic,rwd,van,brown,tx,35.222,-101.831
0,2013.0,kia,optima,excellent,4 cylinders,gas,0.0,clean,automatic,fwd,sedan,black,tx,35.216559,-101.829738
5500,2011.0,hyundai,santa fe,excellent,4 cylinders,gas,149050.0,clean,automatic,fwd,SUV,blue,tx,35.216559,-101.829738
5500,2002.0,ford,f-150,good,8 cylinders,gas,217800.0,rebuilt,automatic,rwd,truck,red,tx,35.182799,-101.838068
7000,2009.0,infiniti,fx35,good,6 cylinders,gas,160100.0,rebuilt,automatic,4wd,SUV,black,tx,35.1663,-101.8868
30000,1964.0,chevrolet,corvette,,,gas,67000.0,missing,manual,,,,tx,31.4093,-97.2302
3500,2008.0,chevrolet,silverado 1500 z-71 ltz,excellent,8 cylinders,gas,144219.0,clean,automatic,4wd,truck,blue,tx,33.562253,-101.856411
2500,2013.0,dodge,challenger sxt,good,6 cylinders,gas,106255.0,clean,automatic,,coupe,black,tx,33.562204,-101.856594
2500,2010.0,toyota,sequoia sr5 platinum,excellent,8 cylinders,gas,250671.0,clean,automatic,4wd,SUV,white,tx,33.56211,-101.856239
1800,1984.0,ford,f-150,,8 cylinders,gas,150000.0,clean,automatic,rwd,,blue,tx,34.4604,-101.545
5800,2006.0,nissan,pathfinder,excellent,6 cylinders,gas,202189.0,clean,automatic,4wd,SUV,white,tx,35.216559,-101.829738
9900,2010.0,ford,expedition,excellent,8 cylinders,gas,139109.0,clean,automatic,rwd,SUV,black,tx,35.216559,-101.829738
5500,2011.0,hyundai,santa fe,excellent,4 cylinders,gas,149050.0,clean,automatic,fwd,SUV,blue,tx,35.216559,-101.829738
13600,2015.0,hyundai,tucson limited,excellent,4 cylinders,gas,112000.0,clean,automatic,fwd,SUV,white,tx,35.098608,-101.738783
14500,2016.0,gmc,4500,excellent,8 cylinders,gas,105000.0,clean,automatic,rwd,truck,white,tx,35.147,-97.372
48888,2015.0,ford,f250,,,diesel,107759.0,clean,automatic,,,,tx,30.648663,-97.866554
4500,2009.0,kia,rio lx,excellent,4 cylinders,gas,94000.0,clean,automatic,fwd,sedan,white,tx,33.5924,-101.9367
24900,2013.0,chevrolet,2500,excellent,8 cylinders,diesel,147000.0,clean,automatic,4wd,truck,white,tx,35.147,-97.372
16900,2015.0,ford,f250,excellent,8 cylinders,gas,160000.0,clean,automatic,4wd,truck,white,tx,35.147,-97.372
24991,2017.0,chevrolet,express cutaway,,8 cylinders,gas,78171.0,clean,automatic,rwd,van,white,tx,35.177308,-101.794475
26900,2015.0,ford,f150,excellent,6 cylinders,gas,129000.0,clean,automatic,4wd,truck,red,tx,35.147,-97.372
24900,2013.0,chevrolet,3500,excellent,8 cylinders,gas,113000.0,clean,automatic,4wd,truck,white,tx,35.147,-97.372
38900,2015.0,chevrolet,3500,excellent,8 cylinders,diesel,72000.0,clean,automatic,4wd,truck,white,tx,35.147,-97.372
21991,2016.0,chevrolet,express cutaway,,8 cylinders,gas,104815.0,clean,automatic,rwd,van,white,tx,35.177308,-101.794475
19991,2015.0,chevrolet,express cutaway,,8 cylinders,gas,116661.0,clean,automatic,rwd,van,white,tx,35.177308,-101.794475
15500,2015.0,mazda,,excellent,6 cylinders,gas,70400.0,clean,automatic,fwd,SUV,white,tx,35.1697,-101.9266
16989,2016.0,buick,encore,,4 cylinders,gas,58970.0,clean,automatic,fwd,SUV,white,tx,35.177308,-101.794475
32991,2014.0,gmc,sierra 1500,,8 cylinders,gas,84272.0,clean,automatic,4wd,pickup,black,tx,35.177308,-101.794475
7429,2013.0,chevrolet,sonic,,4 cylinders,gas,91835.0,clean,automatic,fwd,sedan,black,tx,35.177308,-101.794475
2650,2002.0,ram,cummins 3500 laramie,like new,6 cylinders,diesel,150000.0,clean,automatic,4wd,,,tx,37.178633,-104.516117
3200,2009.0,ram,cummins 3500 laramie,like new,6 cylinders,diesel,170000.0,clean,manual,4wd,,,tx,37.178633,-104.516117
22930,2019.0,kia,sorento,,4 cylinders,gas,62862.0,clean,automatic,fwd,SUV,black,tx,35.177308,-101.794475
28998,2018.0,chevrolet,colorado,,6 cylinders,gas,31712.0,clean,automatic,rwd,pickup,red,tx,35.177308,-101.794475
31916,2017.0,chevrolet,silverado 1500,,8 cylinders,gas,127854.0,clean,automatic,4wd,pickup,white,tx,35.177308,-101.794475
22930,2017.0,nissan,pathfinder,,6 cylinders,gas,72083.0,clean,automatic,4wd,SUV,silver,tx,35.177308,-101.794475
8750,2014.0,,Volskwagen Jetta Sportwagen,excellent,5 cylinders,gas,69596.0,clean,automatic,fwd,,white,tx,34.9529,-100.8952
3500,2014.0,ford,mustang,excellent,6 cylinders,gas,147755.0,clean,automatic,,coupe,black,tx,33.561938,-101.856308
