price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long
451,2019.0,subaru,outback 3.6r,,6 cylinders,gas,27378.0,clean,automatic,4wd,SUV,,wa,47.704016,-122.181051
0,2017.0,honda,civic hatchback sport tou,,4 cylinders,gas,,clean,automatic,fwd,hatchback,,wa,47.240046,-122.350066
24000,2017.0,toyota,sienna le,,6 cylinders,gas,75728.0,clean,automatic,fwd,,,wa,47.45824,-122.253281
0,2021.0,porsche,911 carrera 4s,,,other,1200.0,clean,other,,other,grey,wa,45.5207,-122.6888
0,2018.0,honda,civic sedan ex-t,,4 cylinders,gas,,clean,automatic,fwd,sedan,,wa,47.33029,-122.222553
8000,2015.0,mazda,3 itouring,good,4 cylinders,gas,96198.0,clean,manual,fwd,sedan,grey,wa,47.6733,-122.3426
7995,2013.0,dodge,grand caravan,,6 cylinders,gas,153209.0,clean,automatic,fwd,van,white,wa,47.47202,-122.2219
35999,2020.0,jeep,lifted cherokee trailhawk,,,gas,13168.0,clean,automatic,4wd,SUV,black,wa,47.841211,-122.297249
7500,2000.0,volkswagen,eurovan gls,good,6 cylinders,gas,162010.0,clean,automatic,fwd,mini-van,silver,wa,47.7423,-122.6277
16000,2011.0,lexus,rx 350,,6 cylinders,gas,93424.0,clean,automatic,fwd,SUV,,wa,47.609077,-122.185467
27500,2018.0,toyota,rav4 xle,,4 cylinders,gas,3920.0,clean,automatic,4wd,SUV,,wa,47.609077,-122.185467
13991,2015.0,ford,fusion se sedan 4d,,,gas,,clean,automatic,,sedan,,wa,47.471086,-122.33378
27000,2016.0,jeep,grand cherokee,excellent,6 cylinders,gas,36305.0,clean,automatic,4wd,SUV,white,wa,47.8049,-122.2855
13990,2015.0,subaru,forester 2.5i limited 4,,,gas,136463.0,clean,automatic,4wd,wagon,,wa,47.711481,-122.164632
0,2007.0,mazda,mazda6,,4 cylinders,gas,79137.0,clean,automatic,fwd,sedan,,wa,47.166808,-122.483522
20999,2013.0,dodge,challenger sxt rwd gas,,,gas,54494.0,clean,automatic,rwd,coupe,black,wa,47.199771,-122.299016
