price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,lat,long
29988,2013.0,chevrolet,silverado 1500,,8 cylinders,gas,19912.0,clean,automatic,rwd,truck,grey,ca,34.070422,-117.383339
8419,2009.0,ford,flex sel sport utility 4d,excellent,6 cylinders,gas,0.0,,automatic,,wagon,,ca,34.213401,-119.178039
1400,1999.0,honda,accord,good,4 cylinders,gas,200000.0,clean,manual,fwd,sedan,brown,ca,34.254888,-119.013552
26900,2015.0,ford,f150 supercrew cab xlt,like new,6 cylinders,gas,115066.0,clean,automatic,rwd,sedan,red,ca,34.278191,-118.434998
2750,2014.0,toyota,corolla s plus,like new,4 cylinders,gas,96203.0,clean,automatic,fwd,sedan,grey,ca,34.278191,-118.434998
31900,2011.0,,isuzu nrr,excellent,4 cylinders,diesel,198000.0,clean,automatic,,truck,white,ca,34.0653,-117.8978
45871,2018.0,gmc,sierra 1500 denali,excellent,8 cylinders,gas,32399.0,,automatic,4wd,truck,,ca,34.264798,-119.246834
8999,2017.0,hyundai,elantra se sedan 4d,excellent,4 cylinders,gas,91565.0,,other,,sedan,,ca,34.213401,-119.178039
7997,2014.0,nissan,sentra,excellent,4 cylinders,gas,106000.0,clean,automatic,,sedan,,ca,33.811,-117.8493
0,2019.0,toyota,tacoma,,,gas,9978.0,clean,automatic,rwd,pickup,grey,ca,34.18643,-118.40482
10000,1997.0,ford,f350 super duty,excellent,,diesel,155600.0,clean,automatic,,truck,white,ca,34.234087,-119.164238
5500,1998.0,ford,f-250,,,diesel,220000.0,clean,automatic,,,,ca,34.4451,-119.2565
13995,2015.0,ford,escape,excellent,4 cylinders,gas,76000.0,clean,automatic,fwd,,silver,ca,34.273013,-119.263491
5500,2005.0,chevrolet,tahoe,good,8 cylinders,gas,158300.0,clean,automatic,rwd,SUV,,ca,34.2092,-118.8739
22495,,,Series,,4 cylinders,gas,69169.0,clean,automatic,rwd,sedan,white,ca,33.882535,-118.353148
20995,2014.0,mercedes-benz,m-class,,6 cylinders,gas,83788.0,clean,automatic,rwd,SUV,black,ca,33.882535,-118.353148
21595,2016.0,mercedes-benz,c-class,,4 cylinders,gas,68641.0,clean,automatic,rwd,sedan,black,ca,33.882535,-118.353148
5500,2002.0,ford,focus,good,4 cylinders,gas,121000.0,clean,manual,fwd,coupe,silver,ca,34.2656,-118.7653
11000,2012.0,lexus,ct200h,excellent,4 cylinders,hybrid,108200.0,clean,automatic,fwd,hatchback,white,ca,34.2141,-119.175
6000,1991.0,jeep,wrangler,,4 cylinders,gas,39800.0,clean,manual,,,white,ca,34.1626,-119.1973
14250,1979.0,jeep,cherokee golden eagle,,8 cylinders,gas,78338.0,clean,automatic,4wd,SUV,brown,ca,34.2846,-119.2222
11995,2013.0,bmw,x1,excellent,4 cylinders,gas,106000.0,clean,automatic,rwd,SUV,white,ca,34.273013,-119.263491
25991,2020.0,ford,escape sel,excellent,3 cylinders,gas,6103.0,,automatic,,SUV,,ca,34.264798,-119.246834
16388,2011.0,chevrolet,avalanche,,8 cylinders,gas,135702.0,clean,automatic,rwd,truck,black,ca,34.070422,-117.383339
12995,2011.0,audi,a4,excellent,4 cylinders,gas,91000.0,clean,automatic,fwd,sedan,grey,ca,34.273013,-119.263491
0,2016.0,honda,accord sport,like new,,gas,115000.0,clean,automatic,,,white,ca,34.199656,-119.181074
6995,2007.0,audi,a4,good,4 cylinders,gas,124000.0,clean,automatic,4wd,convertible,black,ca,34.273013,-119.263491
7995,2012.0,ford,flex sel sport utility 4d,excellent,6 cylinders,gas,0.0,,automatic,,wagon,,ca,34.213401,-119.178039
4995,2008.0,toyota,yaris,,,gas,143186.0,clean,automatic,,other,blue,ca,34.18351,-118.90809
21500,1998.0,chevrolet,corvette convertible,like new,8 cylinders,gas,38000.0,clean,automatic,rwd,convertible,,ca,34.3992,-118.9182
19800,2019.0,jeep,cherokee latitude,excellent,4 cylinders,gas,7300.0,clean,automatic,fwd,SUV,black,ca,34.1774,-118.9358
63995,2018.0,tesla,model s,,,electric,19324.0,clean,automatic,,hatchback,blue,ca,34.18351,-118.90809
16995,2018.0,ford,fusion s,excellent,4 cylinders,gas,8764.0,,automatic,,sedan,,ca,34.264798,-119.246834
2500,2001.0,bmw,325i,good,,gas,170000.0,clean,automatic,,,blue,ca,34.2313,-119.0464
16999,2017.0,honda,civic lx hatchback 4d,excellent,4 cylinders,gas,19356.0,,automatic,,hatchback,,ca,34.213401,-119.178039
29000,2016.0,volvo,xc90,,,gas,40637.0,clean,automatic,,SUV,blue,ca,34.007159,-118.413344
